attribute           value                                                       
dataStatement       This Apr. 2022 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of minimum temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 80 unique station locations statewide and their Apr. 2022 recorded and/or estimated minimum temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.95, 0.89, 0.96, 0.9 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed monthly temperature (degC) produces a statewide R-squared value of: 0.96 meaning overall this Apr. 2022 statewide mosaic monthly minimum temperature map is a high quality estimate of monthly temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in minimum temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, monthly Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataYearMon         2022-04                                                     
dateProduced        2022-10-12                                                  
dataVersionType     archival                                                    
tempStationFile     daily_Tmin_2022_04.csv                                      
tempGridFile        Tmin_map_state_202204_monthly.tif                           
tempSEGridFile      Tmin_map_state_202204_monthly_se.tif                        
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties30, 11, 16, 23                                              
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.95131 0.89474 0.96059 0.89608                             
rmseTempCounties    1.03328 0.61013 0.58368 0.52672                             
maeTempCounties     0.86266 0.53546 0.48225 0.44918                             
biasTempCounties    -0.03912 0.19091 -0.03025 -0.00297                          
stationCount        80                                                          
gridPixCount        287117                                                      
rsqTemp             0.96462                                                     
rmseTemp            0.75152                                                     
maeTemp             0.63188                                                     
biasTemp            -0.00074                                                    
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
