attribute           value                                                       
dataStatement       This Dec. 19, 2021 daily temperature maximum map of Hawaii County is a high spatial resolution gridded prediction of maximum temperature in degrees Celsius for the date Dec. 19, 2021. This was produced using a piece-wise linear regression model regressed on elevation with the junction point at 2150 meters. The model was trained on 21 unique station location(s) within Hawaii County. A leave one out cross validation (LOOCV) of the station data used in this map produced an R-squared of: 0.9803. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error
keywords            Hawaii County, Hawaii, maximum temperature prediction, daily temperature, temperature, climate, linear regression
county              bi                                                          
dataDate            Dec. 19, 2021                                               
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmax_2021_12.csv                                      
tempGridFile        Tmax_map_BI_20211219.tif                                    
tempSEGridFile      Tmax_map_BI_20211219_se.tif                                 
crossValidationFile 20211219_Tmax_BI_loocv.csv                                  
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs +ellps=WGS84 +towgs84=0,0,0
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -156.241875                                                 
ExtentXmax          -154.669125                                                 
ExtentYmin          18.850125000000002                                          
ExtentYmax          20.332875                                                   
stationCount        21                                                          
outerStationCount   0                                                           
regressionConst     28.2088                                                     
regressionSlope1    -0.0057                                                     
regressionSlope2    0.0                                                         
biasTemp            -0.52539                                                    
rsqTemp             0.98034                                                     
rmseTemp            0.64639                                                     
maeTemp             0.52598                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
