attribute           value                                                       
dataStatement       This Jun. 2022 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of maximum temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 80 unique station locations statewide and their Jun. 2022 recorded and/or estimated maximum temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.9, 0.59, 0.93, 0.14 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed monthly temperature (degC) produces a statewide R-squared value of: 0.88 meaning overall this Jun. 2022 statewide mosaic monthly maximum temperature map is a high quality estimate of monthly temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in maximum temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, monthly Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataYearMon         2022-06                                                     
dateProduced        2022-08-26                                                  
dataVersionType     archival                                                    
tempStationFile     daily_Tmax_2022_06.csv                                      
tempGridFile        Tmax_map_state_202206_monthly.tif                           
tempSEGridFile      Tmax_map_state_202206_monthly_se.tif                        
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties29, 11, 16, 24                                              
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.90375 0.58738 0.93192 0.14157                             
rmseTempCounties    1.14714 1.02015 1.3029 1.33812                              
maeTempCounties     0.99809 0.79415 1.13256 1.09403                             
biasTempCounties    0.22893 -0.09608 -0.14275 0.0296                            
stationCount        80                                                          
gridPixCount        287117                                                      
rsqTemp             0.88169                                                     
rmseTemp            1.2949                                                      
maeTemp             1.09454                                                     
biasTemp            0.0353                                                      
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
