attribute           value                                                       
dataStatement       This Sep. 2022 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of minimum temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 79 unique station locations statewide and their Sep. 2022 recorded and/or estimated minimum temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.96, 0.84, 0.94, 0.7 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed monthly temperature (degC) produces a statewide R-squared value of: 0.95 meaning overall this Sep. 2022 statewide mosaic monthly minimum temperature map is a high quality estimate of monthly temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in minimum temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, monthly Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataYearMon         2022-09                                                     
dateProduced        2022-10-12                                                  
dataVersionType     archival                                                    
tempStationFile     daily_Tmin_2022_09.csv                                      
tempGridFile        Tmin_map_state_202209_monthly.tif                           
tempSEGridFile      Tmin_map_state_202209_monthly_se.tif                        
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties30, 11, 16, 22                                              
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.95822 0.84073 0.94249 0.70118                             
rmseTempCounties    0.96184 0.71125 0.73257 0.61582                             
maeTempCounties     0.8108 0.665 0.63258 0.54573                                
biasTempCounties    -0.00202 0.1933 0.03799 0.1408                              
stationCount        79                                                          
gridPixCount        287117                                                      
rsqTemp             0.94702                                                     
rmseTemp            0.87527                                                     
maeTemp             0.73834                                                     
biasTemp            0.02669                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
