attribute           value                                                       
dataStatement       This Feb. 06, 2022 daily temperature mean map of Honolulu County (Oahu) is a high spatial resolution gridded prediction of mean temperature in degrees Celsius for the date Feb. 06, 2022. This was produced using a piece-wise linear regression model regressed on elevation with the junction point at 2150 meters. The model was trained on 12 unique station location(s) within Honolulu County (Oahu). A leave one out cross validation (LOOCV) of the station data used in this map produced an R-squared of: 0.8054. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error
keywords            Honolulu County (Oahu), Hawaii, mean temperature prediction, daily temperature, temperature, climate, linear regression
county              oa                                                          
dataDate            Feb. 06, 2022                                               
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmean_2022_02.csv                                     
tempGridFile        Tmean_map_OA_20220206.tif                                   
tempSEGridFile      Tmean_map_OA_20220206_se.tif                                
crossValidationFile 20220206_Tmean_OA_loocv.csv                                 
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs +ellps=WGS84 +towgs84=0,0,0
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -158.320875                                                 
ExtentXmax          -157.603125                                                 
ExtentYmin          21.181124999999998                                          
ExtentYmax          21.741374999999998                                          
stationCount        12                                                          
outerStationCount   0                                                           
regressionConst     nan                                                         
regressionSlope1    nan                                                         
regressionSlope2    nan                                                         
biasTemp            -0.00082                                                    
rsqTemp             0.80541                                                     
rmseTemp            0.61496                                                     
maeTemp             0.5674                                                      
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
