attribute           value                                                       
dataStatement       This Dec. 20, 2021 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of mean temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 46 unique station locations statewide and their Dec. 20, 2021 recorded and/or estimated mean temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.97, nan, 1.0, 0.92 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed daily temperature (degC) produces a statewide R-squared value of: 0.97 meaning overall this Dec. 20, 2021 statewide mosaic daily mean temperature map is a high quality estimate of daily temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in mean temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, Daily Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataDate            2021-12-20                                                  
dateProduced        2021-12-21                                                  
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmin_2021_12.csv, daily_Tmax_2021_12.csv              
tempGridFile        Tmean_map_state_20211220.tif                                
tempSEGridFile      Tmean_map_state_20211220_se.tif                             
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties22, 6, 7, 11                                                
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.97123 nan 0.99729 0.92262                                 
rmseTempCounties    0.71457 nan 0.23077 0.40045                                 
maeTempCounties     0.54322 nan 0.18928 0.34621                                 
biasTempCounties    0.09833 nan 0.09188 -0.09863                                
stationCount        46                                                          
gridPixCount        287117                                                      
rsqTemp             0.97297                                                     
rmseTemp            0.67308                                                     
maeTemp             0.51439                                                     
biasTemp            0.10602                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
