attribute           value                                                       
dataStatement       This Dec. 12, 2021 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of maximum temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 46 unique station locations statewide and their Dec. 12, 2021 recorded and/or estimated maximum temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.97, nan, 0.77, 0.7 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed daily temperature (degC) produces a statewide R-squared value of: 0.88 meaning overall this Dec. 12, 2021 statewide mosaic daily maximum temperature map is a high quality estimate of daily temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in maximum temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, Daily Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataDate            2021-12-12                                                  
dateProduced        2021-12-13                                                  
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmax_2021_12.csv                                      
tempGridFile        Tmax_map_state_20211212.tif                                 
tempSEGridFile      Tmax_map_state_20211212_se.tif                              
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties21, 6, 7, 12                                                
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.97386 nan 0.76589 0.70084                                 
rmseTempCounties    0.62902 nan 1.93328 1.00493                                 
maeTempCounties     0.53671 nan 1.40963 0.90775                                 
biasTempCounties    -0.09586 nan 0.09339 0.16589                                
stationCount        46                                                          
gridPixCount        287117                                                      
rsqTemp             0.88339                                                     
rmseTemp            1.0921                                                      
maeTemp             0.90466                                                     
biasTemp            0.16804                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
